raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished,drops
102,2300,0,0,50,1680,3410,17860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17860,0,1786,35.0
104,2300,0,0,20,1340,3140,18500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18500,0,1850,35.0
106,2300,0,0,10,900,2910,19180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19180,0,1918,35.0
108,2300,0,0,0,630,2630,19740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19740,0,1974,35.0
110,2300,0,0,0,460,2300,20240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20240,0,2024,35.0
112,2300,0,0,0,290,1940,20770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20770,0,2077,35.0
114,2300,0,0,0,190,1590,21220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21220,0,2122,35.0
116,2300,0,0,0,100,1340,21560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21560,0,2156,35.0
118,2300,0,0,0,70,1100,21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21830,0,2183,35.0
120,2300,0,0,0,40,810,22150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22150,0,2215,35.0
122,2300,0,0,0,20,600,22380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22380,0,2238,35.0
124,2300,0,0,0,0,470,22530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22530,0,2253,35.0
126,2300,0,0,0,0,340,22660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22660,0,2266,35.0
128,2300,0,0,0,0,250,22750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22750,0,2275,35.0
130,2300,0,0,0,0,160,22840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22840,0,2284,35.0
132,2300,0,0,0,0,120,22880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22880,0,2288,35.0
134,2300,0,0,0,0,80,22920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22920,0,2292,35.0
136,2300,0,0,0,0,60,22940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22940,0,2294,35.0
138,2300,0,0,0,0,30,22970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22970,0,2297,35.0
140,2300,0,0,0,0,20,22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22980,0,2298,35.0
142,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
144,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
146,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
148,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
150,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
152,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
154,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
156,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
158,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
160,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
162,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
164,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
166,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
168,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
170,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
172,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
174,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
176,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
178,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
180,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
182,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
184,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
186,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
188,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
190,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
192,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
194,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
196,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
198,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
200,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
202,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
204,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
206,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
208,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
210,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
212,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
214,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
216,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
218,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
220,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
222,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
224,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
226,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
228,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
230,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
232,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
234,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
236,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
238,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
240,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
242,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
244,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
246,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
248,2300,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23000,0,2300,35.0
